,location,time,students
0,595,2020-05-18 00:00:00,0
1,595,2020-05-18 00:30:00,0
2,595,2020-05-18 01:00:00,0
3,595,2020-05-18 01:30:00,0
4,595,2020-05-18 02:00:00,0
5,595,2020-05-18 02:30:00,0
6,595,2020-05-18 03:00:00,0
7,595,2020-05-18 03:30:00,0
8,595,2020-05-18 04:00:00,0
9,595,2020-05-18 04:30:00,0
10,595,2020-05-18 05:00:00,0
11,595,2020-05-18 05:30:00,0
12,595,2020-05-18 06:00:00,0
13,595,2020-05-18 06:30:00,0
14,595,2020-05-18 07:00:00,0
15,595,2020-05-18 07:30:00,0
16,595,2020-05-18 08:00:00,0
17,595,2020-05-18 08:30:00,2
18,595,2020-05-18 09:00:00,3
19,595,2020-05-18 09:30:00,3
20,595,2020-05-18 10:00:00,2
21,595,2020-05-18 10:30:00,0
22,595,2020-05-18 11:00:00,77
23,595,2020-05-18 11:30:00,71
24,595,2020-05-18 12:00:00,77
25,595,2020-05-18 12:30:00,0
26,595,2020-05-18 13:00:00,0
27,595,2020-05-18 13:30:00,1
28,595,2020-05-18 14:00:00,2
29,595,2020-05-18 14:30:00,1
30,595,2020-05-18 15:00:00,2
31,595,2020-05-18 15:30:00,3
32,595,2020-05-18 16:00:00,1
33,595,2020-05-18 16:30:00,1
34,595,2020-05-18 17:00:00,3
35,595,2020-05-18 17:30:00,2
36,595,2020-05-18 18:00:00,1
37,595,2020-05-18 18:30:00,0
38,595,2020-05-18 19:00:00,3
39,595,2020-05-18 19:30:00,2
40,595,2020-05-18 20:00:00,2
41,595,2020-05-18 20:30:00,2
42,595,2020-05-18 21:00:00,3
43,595,2020-05-18 21:30:00,3
44,595,2020-05-18 22:00:00,0
45,595,2020-05-18 22:30:00,0
46,595,2020-05-18 23:00:00,0
47,595,2020-05-18 23:30:00,0
48,594,2020-05-18 00:00:00,0
49,594,2020-05-18 00:30:00,0
50,594,2020-05-18 01:00:00,0
51,594,2020-05-18 01:30:00,0
52,594,2020-05-18 02:00:00,0
53,594,2020-05-18 02:30:00,0
54,594,2020-05-18 03:00:00,0
55,594,2020-05-18 03:30:00,0
56,594,2020-05-18 04:00:00,0
57,594,2020-05-18 04:30:00,0
58,594,2020-05-18 05:00:00,0
59,594,2020-05-18 05:30:00,0
60,594,2020-05-18 06:00:00,0
61,594,2020-05-18 06:30:00,0
62,594,2020-05-18 07:00:00,0
63,594,2020-05-18 07:30:00,0
64,594,2020-05-18 08:00:00,0
65,594,2020-05-18 08:30:00,2
66,594,2020-05-18 09:00:00,76
67,594,2020-05-18 09:30:00,78
68,594,2020-05-18 10:00:00,79
69,594,2020-05-18 10:30:00,71
70,594,2020-05-18 11:00:00,1
71,594,2020-05-18 11:30:00,2
72,594,2020-05-18 12:00:00,0
73,594,2020-05-18 12:30:00,0
74,594,2020-05-18 13:00:00,2
75,594,2020-05-18 13:30:00,0
76,594,2020-05-18 14:00:00,1
77,594,2020-05-18 14:30:00,3
78,594,2020-05-18 15:00:00,0
79,594,2020-05-18 15:30:00,1
80,594,2020-05-18 16:00:00,0
81,594,2020-05-18 16:30:00,2
82,594,2020-05-18 17:00:00,1
83,594,2020-05-18 17:30:00,2
84,594,2020-05-18 18:00:00,0
85,594,2020-05-18 18:30:00,0
86,594,2020-05-18 19:00:00,1
87,594,2020-05-18 19:30:00,3
88,594,2020-05-18 20:00:00,0
89,594,2020-05-18 20:30:00,0
90,594,2020-05-18 21:00:00,2
91,594,2020-05-18 21:30:00,0
92,594,2020-05-18 22:00:00,0
93,594,2020-05-18 22:30:00,0
94,594,2020-05-18 23:00:00,0
95,594,2020-05-18 23:30:00,0
96,593,2020-05-18 00:00:00,0
97,593,2020-05-18 00:30:00,0
98,593,2020-05-18 01:00:00,0
99,593,2020-05-18 01:30:00,0
100,593,2020-05-18 02:00:00,0
101,593,2020-05-18 02:30:00,0
102,593,2020-05-18 03:00:00,0
103,593,2020-05-18 03:30:00,0
104,593,2020-05-18 04:00:00,0
105,593,2020-05-18 04:30:00,0
106,593,2020-05-18 05:00:00,0
107,593,2020-05-18 05:30:00,0
108,593,2020-05-18 06:00:00,0
109,593,2020-05-18 06:30:00,0
110,593,2020-05-18 07:00:00,0
111,593,2020-05-18 07:30:00,0
112,593,2020-05-18 08:00:00,0
113,593,2020-05-18 08:30:00,2
114,593,2020-05-18 09:00:00,76
115,593,2020-05-18 09:30:00,77
116,593,2020-05-18 10:00:00,79
117,593,2020-05-18 10:30:00,79
118,593,2020-05-18 11:00:00,2
119,593,2020-05-18 11:30:00,3
120,593,2020-05-18 12:00:00,3
121,593,2020-05-18 12:30:00,0
122,593,2020-05-18 13:00:00,3
123,593,2020-05-18 13:30:00,0
124,593,2020-05-18 14:00:00,0
125,593,2020-05-18 14:30:00,3
126,593,2020-05-18 15:00:00,0
127,593,2020-05-18 15:30:00,0
128,593,2020-05-18 16:00:00,1
129,593,2020-05-18 16:30:00,0
130,593,2020-05-18 17:00:00,3
131,593,2020-05-18 17:30:00,3
132,593,2020-05-18 18:00:00,2
133,593,2020-05-18 18:30:00,0
134,593,2020-05-18 19:00:00,0
135,593,2020-05-18 19:30:00,2
136,593,2020-05-18 20:00:00,0
137,593,2020-05-18 20:30:00,3
138,593,2020-05-18 21:00:00,3
139,593,2020-05-18 21:30:00,2
140,593,2020-05-18 22:00:00,0
141,593,2020-05-18 22:30:00,0
142,593,2020-05-18 23:00:00,0
143,593,2020-05-18 23:30:00,0
144,585,2020-05-18 00:00:00,0
145,585,2020-05-18 00:30:00,0
146,585,2020-05-18 01:00:00,0
147,585,2020-05-18 01:30:00,0
148,585,2020-05-18 02:00:00,0
149,585,2020-05-18 02:30:00,0
150,585,2020-05-18 03:00:00,0
151,585,2020-05-18 03:30:00,0
152,585,2020-05-18 04:00:00,0
153,585,2020-05-18 04:30:00,0
154,585,2020-05-18 05:00:00,0
155,585,2020-05-18 05:30:00,0
156,585,2020-05-18 06:00:00,0
157,585,2020-05-18 06:30:00,0
158,585,2020-05-18 07:00:00,0
159,585,2020-05-18 07:30:00,0
160,585,2020-05-18 08:00:00,0
161,585,2020-05-18 08:30:00,1
162,585,2020-05-18 09:00:00,60
163,585,2020-05-18 09:30:00,59
164,585,2020-05-18 10:00:00,53
165,585,2020-05-18 10:30:00,56
166,585,2020-05-18 11:00:00,2
167,585,2020-05-18 11:30:00,1
168,585,2020-05-18 12:00:00,3
169,585,2020-05-18 12:30:00,1
170,585,2020-05-18 13:00:00,1
171,585,2020-05-18 13:30:00,3
172,585,2020-05-18 14:00:00,0
173,585,2020-05-18 14:30:00,1
174,585,2020-05-18 15:00:00,0
175,585,2020-05-18 15:30:00,3
176,585,2020-05-18 16:00:00,3
177,585,2020-05-18 16:30:00,0
178,585,2020-05-18 17:00:00,0
179,585,2020-05-18 17:30:00,0
180,585,2020-05-18 18:00:00,0
181,585,2020-05-18 18:30:00,1
182,585,2020-05-18 19:00:00,3
183,585,2020-05-18 19:30:00,3
184,585,2020-05-18 20:00:00,0
185,585,2020-05-18 20:30:00,3
186,585,2020-05-18 21:00:00,3
187,585,2020-05-18 21:30:00,3
188,585,2020-05-18 22:00:00,0
189,585,2020-05-18 22:30:00,0
190,585,2020-05-18 23:00:00,0
191,585,2020-05-18 23:30:00,0
192,584,2020-05-18 00:00:00,1
193,584,2020-05-18 00:30:00,1
194,584,2020-05-18 01:00:00,1
195,584,2020-05-18 01:30:00,2
196,584,2020-05-18 02:00:00,3
197,584,2020-05-18 02:30:00,2
198,584,2020-05-18 03:00:00,3
199,584,2020-05-18 03:30:00,1
200,584,2020-05-18 04:00:00,1
201,584,2020-05-18 04:30:00,3
202,584,2020-05-18 05:00:00,2
203,584,2020-05-18 05:30:00,0
204,584,2020-05-18 06:00:00,0
205,584,2020-05-18 06:30:00,3
206,584,2020-05-18 07:00:00,3
207,584,2020-05-18 07:30:00,2
208,584,2020-05-18 08:00:00,0
209,584,2020-05-18 08:30:00,0
210,584,2020-05-18 09:00:00,0
211,584,2020-05-18 09:30:00,1
212,584,2020-05-18 10:00:00,1
